House.ID;Longitude;Latitude;Address;Park;Neighborhood;Ticks;I;H;A;Lawn;Log.brush;Wood;Vegetable;Birdfeeder;Chicken;Fence;Play;Seating;Wall;Compost.bin;Trashcan;Food.shelter;Fencing.yard.;Number.tubes;Number.tubes.with.hair;Number.tubes.peromyscus;Number.tubes.insectivore;Number.tubes.vole;Number.tubes.raccoon;Number.tubes.chipmunk;Woodchuck_VisR;Deer_VisR;Raccon_VisR;Cat_VisR;Possum_VisR;Skunk_VisR;Squirrel_VisR;type_edge;Acres;ApproxMOrnamentals;ApproxMherbaceous;ApproxMnonherbaceous;ApproxMweeds;ApproxMevergreen;ApproxMgrass;prop.grass;prop.shrub;prop.lowcan;prop.highcan;prop.bare;prop.imperv
SI001;-74,13731;40,576;307 Nugent St;Latourette;Middle;Y;5;57;453;1;1;0;1;0;NA;0;0;0;NA;0;1;0;NA;19;10;9;0;0;1;2;0,214285714;0,214285714;0,071428571;0;0;0;0,571428571;1;0,286703611;5;30;40;60;5;110;0,047372954;0,115417743;0,422911283;0,168819983;0;0,245478036
SI018;-74,13985;40,57729;370 London Rd;Latourette;Middle;N;0;0;0;1;0;1;1;0;NA;1;0;0;NA;0;1;0;3;11;3;1;1;0;2;0;0;0;0;0;0;0;0;3;0,139599081;7;20;50;0;30;100;0,212389381;0,063716814;0,184070796;0,173451327;0;0,366371681
SI036;-74,19794;40,52155;209 Seguine Ave;Wolfe's pond;South Middle;Y;0;0;371;1;1;0;1;0;NA;1;0;0;NA;0;1;0;2;22;11;11;0;0;0;1;0,214285714;0,214285714;0,142857143;0,214285714;0,142857143;0;0,285714286;3;0,435592081;5;35;35;110;10;0;0,222789116;0,066326531;0,461451247;0,052154195;0;0,197278912
SI063;-74,13347;40,57579;201 St George Rd;Latourette;Middle;N;0;0;0;0;1;0;1;0;NA;1;1;0;NA;0;1;0;2;7;1;0;0;0;0;0;0;0,071428571;0,142857143;0,142857143;0,142857143;0;0,357142857;3;0,094384008;1;0;0;40;0;0;0,089238845;0,091863517;0,254593176;0,162729659;0;0,401574803
SI078;-74,1319;40,57695;143 Nugent st;Latourette;Middle;Y;7;10;8;1;1;0;0;0;NA;0;0;0;NA;0;0;1;NA;16;4;1;0;0;4;0;0;0,428571429;0,214285714;0,357142857;0,071428571;0;0;1;0,153953571;2;0;10;80;0;85;0,0176;0,0016;0,3168;0,4544;0;0,2096
SI095;-74,13498;40,57585;241 Ascot Ave;Latourette;Middle;N;0;0;0;1;1;0;0;0;NA;0;1;0;NA;0;0;0;NA;11;1;0;0;0;0;1;0,071428571;0,071428571;0,071428571;0,214285714;0,142857143;0;0,428571429;1;0,095540679;4;20;20;30;0;105;0,015503876;0,043927649;0,674418605;0,266149871;0;0
SI125;-74,09845;40,60423;190 Coverly ave;Reed's basket willow;Middle;Y;0;3;0;NA;1;1;0;0;NA;1;0;0;NA;0;0;0;2;11;4;0;0;0;4;0;0;0,142857143;0,142857143;0,142857143;0;0;0,285714286;1;0,305049569;4;0;30;0;5;0;0,033980583;0,141585761;0,451456311;0,105177994;0;0,267799353
SI167;-74,24037;40,53525;122 Androvette St;Clay Pit;South;Y;2;4;0;1;1;0;1;1;NA;1;0;0;NA;0;0;0;2;12;0;0;0;0;0;0;0,357142857;0,071428571;0,071428571;0;0;0,071428571;0,428571429;3;0,422820461;1;20;0;0;0;115;0,192622951;0,079625293;0,451990632;0;0;0,275761124
SI2161;-74,10267;40,59876;40 Hillview Pl;Reed's basket willow;Middle;N;0;0;0;1;0;0;1;0;NA;1;0;0;NA;0;0;1;2;14;2;2;1;0;1;0;0;0,071428571;0,142857143;0,214285714;0;0,071428571;0,214285714;1;0,186052388;4;25;25;0;0;15;0,01589404;0,051655629;0,443708609;0,198675497;0;0,290066225
SI2176;-74,17556;40,52876;263 Poillon Ave;Blue Heron;South Middle;N;0;0;0;1;1;1;1;1;NA;1;0;1;NA;0;1;0;3;22;4;0;0;0;3;0;0;0;0,142857143;0,285714286;0;0;0,071428571;3;0,329912082;11;65;30;55;65;5;0,121166791;0,087509349;0,382946896;0,140613313;0,014958863;0,252804787
SI2473;-74,1227785;40,6256269;11 Egbert Ave;Clove Lakes;North;N;0;0;0;1;0;0;0;1;NA;1;0;0;NA;1;1;0;1;14;6;3;0;0;0;2;0;0;0;0;0;0;0,285714286;3;0,134073672;1;5;0;15;0;0;0,053406998;0,012891344;0,35359116;0,250460405;0;0,329650092
SI2552;-74,18775;40,52021;419/423 Cornelia Ave;Wolfe's pond;South Middle;Y;29;0;163;0;1;1;0;1;NA;1;0;0;NA;0;1;1;2;22;13;4;0;0;10;2;0,071428571;0,357142857;0,285714286;0,214285714;0;0;0;3;0,159157472;1;15;0;130;0;55;0,00620155;0,012403101;0,07751938;0,618604651;0;0,285271318
SI2706;-74,1879;40,52042;67 Veith Pl;Wolfe's pond;South Middle;N;0;0;0;0;0;0;0;1;NA;1;0;0;NA;0;1;1;3;6;3;0;0;0;2;1;0,222222222;0;0,222222222;0,555555556;0;0;0;2;0,026674011;1;5;10;0;0;0;0,027777778;0,027777778;0,018518519;0;0;0,925925926
SI2707;-74,1881239;40,5204599;405 Cornelia Ave;Wolfe's pond;South Middle;N;0;0;0;0;0;0;1;1;NA;1;0;0;NA;0;1;0;2;10;5;1;1;0;4;0;0,214285714;0,142857143;0;0,142857143;0;0;0;2;0,048186543;1;10;0;40;0;30;0,015463918;0,015463918;0,020618557;0;0;0,948453608
SI288;-74,1879;40,52042;7 Veith Pl;Wolfe's pond;South Middle;Y;1;0;1;0;0;1;1;0;NA;1;1;0;NA;0;0;0;2;12;5;0;0;0;4;0;0,142857143;0;0,142857143;0,071428571;0;0;0;2;0,098115479;1;0;0;45;0;15;0,025188917;0,113350126;0,188916877;0,294710327;0;0,377833753
SI293;-74,2353047;40,5023995;47 Bruno Ln;Hybrid Oaks;South;Y;1;103;1;1;0;0;1;0;NA;1;1;0;NA;0;0;0;2;10;1;1;1;0;0;0;0;0,4;0;0;0;0;0;1;0,102777386;5;85;0;40;10;20;0,062650602;0,139759036;0,098795181;0,012048193;0,055421687;0,631325301
SI3285;-74,1593286;40,5318048;496 King St;Blue Heron;South Middle;N;0;0;0;1;0;1;1;0;NA;1;1;0;NA;0;0;0;3;7;4;3;0;0;0;1;0;0;0,214285714;0,071428571;0,071428571;0;0,214285714;NA;0,134214313;3;5;0;0;0;60;0,200736648;0,038674033;0,486187845;0,02946593;0;0,244935543
SI365;-74,25248;40,50487;716 Craig Ave;Conference house;South;Y;0;1;0;1;0;0;1;0;NA;1;0;0;NA;0;1;0;3;11;1;0;0;0;0;1;0;0;0;0;0;0;0,071428571;3;0,149148373;7;20;10;0;20;55;0,063018242;0,034825871;0,27694859;0,094527363;0,006633499;0,524046434
SI3657;-74,2343;40,52094;169 Richmond Valley Rd;Loretto;South;Y;4;18;0;0;1;1;1;1;NA;1;0;1;NA;0;1;1;2;20;1;0;0;0;1;0;0;0;0;0;0;0;0,071428571;NA;0,377714854;7;35;40;65;45;0;0,069100391;0,039765319;0,669491525;0,014341591;0;0,207301173
SI4257;-74,1508;40,61169;242 Cambridge Ave;Willowbrook;North;Y;0;1;0;1;0;0;1;0;NA;1;0;0;NA;1;1;0;3;8;1;1;0;0;0;0;0;0;0;0;0,142857143;0;0,285714286;NA;0,093230582;3;10;5;0;0;45;0,119047619;0,013227513;0,232804233;0;0;0,634920635
SI452;-74,18209;40,52962;189 Arbutus Ave;Blue Heron;South Middle;N;0;0;0;1;0;0;1;0;NA;1;0;0;NA;0;1;0;3;20;2;0;0;0;0;2;0;0,357142857;0,071428571;0,142857143;0,142857143;0;0,357142857;2;0,483482696;6;15;30;5;10;110;0,1099182;0,018404908;0,321574642;0;0;0,550102249
SI4543;-74,1027;40,61931;93 Beverly Ave;Clove Lakes;North;N;0;0;0;1;1;0;1;0;NA;1;1;0;NA;1;1;0;2;17;3;0;0;0;2;2;0;0;0;0;0;0;0;NA;0,128191333;8;30;60;0;10;25;0,061538462;0,094230769;0,501923077;0,076923077;0;0,265384615
SI4559;-74,1013;40,61478;166 Van Cortlandt Ave;Clove Lakes;North;N;0;0;0;1;0;0;1;0;NA;1;0;0;NA;0;0;0;3;13;1;0;0;0;0;1;0;0;0;0,142857143;0;0;0,214285714;NA;0,172730917;6;30;10;30;10;70;0,111269615;0,032810271;0,32382311;0,067047076;0;0,465049929
SI4617;-74,1259;40,6308;39 Cornell Ave;Clove Lakes;North;N;0;0;0;1;0;1;1;0;NA;1;0;0;NA;0;0;0;2;9;2;0;0;0;0;2;0;0;0;0;0;0;0;NA;0,111465177;4;35;15;0;5;0;0,022123894;0,028761062;0,517699115;0,019911504;0;0,411504425
SI4633;-74,1148;40,61219;50 Windsor Rd;Clove Lakes;North;N;0;0;0;1;0;0;1;0;NA;1;0;0;NA;1;0;0;3;7;1;0;0;0;1;0;0;0;0;0;0;0;0;NA;0,125373443;2;0;10;15;0;50;0,066797642;0,074656189;0,100196464;0,163064833;0;0,595284872
SI525;-74,23249;40,53797;47 Carlin St;Clay Pit;South;N;0;0;0;1;0;0;1;0;NA;1;1;0;NA;0;1;0;3;7;1;0;0;0;0;0;0;0;0;0,071428571;0;0;0;4;0,089467228;1;5;5;0;0;30;0,190082645;0,14600551;0,151515152;0;0;0,512396694
SI5475;-74,24104281;40,49847281;469 Brighton St;Conference house;South;Y;2;9;5;1;0;0;1;0;NA;1;0;0;NA;0;1;0;3;26;11;10;1;0;2;1;0,357142857;0;0;0,214285714;0;0;0;NA;0,1924147;5;80;70;75;0;140;0;0;0,902061856;0,029639175;0,029639175;0,038659794
SI5598;-74,21966114;40,5200177;6505 Amboy Rd;Loretto;South;Y;3;7;1;1;1;0;1;0;NA;1;0;1;NA;0;1;0;2;17;10;9;0;0;0;0;0,142857143;0;0,142857143;0,357142857;0;0;0;NA;0,201285427;7;50;25;20;25;80;0,197546012;0,099386503;0,301840491;0,025766871;0;0,375460123
SI5827;-74,11960439;40,58032079;204 Beacon Ave;High Rock;Middle;N;0;0;0;1;0;0;1;0;NA;1;0;0;NA;0;NA;0;3;9;2;1;0;0;1;0;0;0;0;0;0;0;0;NA;0,085732547;5;10;5;0;15;55;0,088571429;0,025714286;0,062857143;0;0;0,822857143
SI6444;-74,11569759;40,62421524;743 Clove Rd;Clove Lakes;North;Y;0;0;1;0;0;0;1;0;NA;1;0;0;NA;0;0;0;3;11;11;6;4;1;2;3;0;0;0,071428571;0,071428571;0;0;0;NA;0,10745563;1;0;0;50;5;90;0,064220183;0,087155963;0,105504587;0,231651376;0;0,51146789
SI7000;-74,11967468;40,57928467;167 Geldner ave;High Rock;Middle;N;0;0;0;1;0;0;0;0;NA;1;0;0;NA;0;NA;0;3;12;5;0;5;0;0;0;0;0;0,071428571;0,071428571;0,142857143;0,071428571;0,428571429;NA;0,142987306;5;0;10;15;25;50;0,006896552;0,024137931;0,184482759;0,472413793;0;0,312068966
SI7008;-74,2025425;40,5552128;202 Cody Pl;Clay Pit;South Middle;Y;0;18;0;1;0;0;1;0;NA;1;0;0;NA;1;1;0;3;8;7;3;2;0;4;0;0;0;0,357142857;0,214285714;0,142857143;0;0;NA;0,034782957;5;15;10;5;0;20;0,056737589;0,035460993;0,283687943;0;0,035460993;0,588652482
SI7010;-74,13707;40,57578;98 Aultman Ave;Latourette;Middle;Y;0;6;0;1;0;0;1;1;NA;1;0;0;NA;1;0;0;2;13;1;0;0;0;0;1;0,071428571;0,142857143;0,071428571;0,071428571;0,071428571;0;0,357142857;NA;0,099749136;3;10;5;80;0;80;0,014814815;0,014814815;0,125925926;0,844444444;0;0
SI7011;-74,12594604;40,63385773;15 Caldera Pl. ;Clove Lakes;North;N;0;0;0;0;1;0;0;0;NA;1;0;0;NA;0;1;0;3;23;2;0;0;0;2;0;0;0;0,285714286;0,5;0;0;0,142857143;NA;0,163345034;11;85;35;0;25;75;0,128593041;0,118003026;0,514372163;0;0;0,23903177
SI7015;-74,14728546;40,54243088;22 Presley St. ;Blue Heron;South Middle;N;0;0;0;1;1;0;1;0;NA;1;0;0;NA;0;1;0;2;9;0;0;0;0;0;0;0;0;0,071428571;0,357142857;0,357142857;0;0,142857143;NA;0,09290002;4;25;0;5;0;30;0,064171123;0,002673797;0,344919786;0;0;0,588235294
SI7024;-74,25297;40,50499;97 Satterlee st. ;Conference House;South;Y;0;3;1;1;0;0;1;0;NA;1;0;1;NA;0;1;0;3;34;6;0;0;0;4;2;0,142857143;0,214285714;0,25;0,17857142;0,357142857;0;0,21428572;NA;0,522313527;16;200;75;30;0;200;0,026477541;0,040189125;0,623167849;0,187234043;0;0,122931442
SI7028;-74,13690948;40,57139206;9 Ardsley Street;Latourette;Middle;Y;0;1;0;1;0;0;1;1;NA;1;0;0;NA;0;1;1;3;17;4;1;0;0;3;1;0;0,142857143;0,142857143;0,571428571;0,071428571;0;0,5;NA;0,176051458;9;30;15;5;35;140;0,113445378;0,039215686;0,207282913;0,004201681;0,007002801;0,628851541
SI7030;-74,0820665;40,6301021;344 St. Paul’s Avenue ;Clove Lakes;North;N;0;0;0;1;1;1;1;1;NA;1;0;0;NA;0;1;0;2;20;4;3;0;0;1;1;0;0;0,133333333;0,333333333;0,066666667;0;0,066666667;NA;0,170447295;5;40;20;110;0;0;0,004373178;0,062682216;0,373177843;0,301749271;0;0,258017493
SI7033;-74,1933375;40,5364829;240 Darlington Ave;Blue Heron;South Middle;N;0;0;0;0;0;0;1;0;NA;1;0;0;NA;1;1;0;2;11;2;0;0;0;2;0;0;0;0;0;0;0;0,142857143;NA;0,110150746;7;20;35;20;0;80;0,06741573;0,042696629;0,301123596;0,080898876;0;0,507865169
SI748;-74,25287;40,50702;19 Satterlee St;Conference house;South;N;0;66;0;1;0;0;1;0;NA;1;0;0;NA;0;1;1;2;17;1;0;0;0;0;1;0;0;0;0,071428571;0,071428571;0;0,071428571;2;0,133815278;10;60;20;20;15;90;0,04797048;0,057195572;0,245387454;0;0;0,649446494
SI776;-74,14211;40,57384;423 St Andrews Rd;Latourette;Middle;N;0;0;0;1;0;0;1;0;NA;1;1;0;NA;0;1;0;3;10;7;6;0;0;0;0;0;0,066666667;0;0;0,133333333;0;0,066666667;NA;0,183124855;6;5;35;35;0;40;0,054054054;0,154054054;0,191891892;0,040540541;0;0,559459459
15EA;-74,12288666;40,62544632;15EA;Clove Lakes;North;N;0;0;0;1;0;0;0;0;NA;1;0;0;NA;0;1;0;2;7;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0,105233269;2;20;5;30;0;40;0,03286385;0,007042254;0,199530516;0,002347418;0;0,758215962
SI033;-74,13414;40,57873;216 Meisner ave;Latourette;Middle;Y;1;0;0;0;1;0;0;1;NA;1;0;0;NA;0;1;0;2;10;5;1;0;0;4;1;0;0;0;0;0;0;0;1;0,145922094;3;0;15;35;0;10;0,038983051;0,025423729;0,288135593;0,411864407;0,001694915;0,233898305
SI086;-74,13594;40,57789;255 Edinboro rd;Latourette;Middle;N;0;0;0;1;0;0;1;0;NA;1;0;0;NA;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0,323719708;11;80;75;0;40;90;0,073282443;0,088549618;0,37480916;0,267175573;0;0,196183206
SI182;-74,17398;40,53627;49 Rae Ave;Blue Heron;South Middle;N;0;0;0;1;0;0;1;0;NA;1;0;0;NA;0;0;0;3;13;3;0;0;0;2;0;0;0;0;0;0;0;0;3;0,183102641;5;5;30;0;20;10;0,212162162;0,077027027;0,275675676;0;0;0,435135135
SI185;-74,17387;40,53546;76 Rae Ave;Blue Heron;South Middle;N;0;0;0;1;0;0;0;0;NA;1;0;0;NA;0;0;0;3;8;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0,09200502;0;0;0;0;0;0;0,134048257;0,069705094;0,08310992;0,021447721;0;0,691689008
SI193;-74,12576;40,58314;149 Nevada ave;High Rock;Middle;N;0;0;0;1;0;0;0;0;NA;0;0;0;NA;0;1;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0,292227753;7;0;40;0;40;90;0,114767932;0,04556962;0,244725738;0,34092827;0;0,254008439
SI2351;-74,10409;40,60519;347 Deere Park Pl;Deere;Middle;N;0;0;0;1;0;0;1;0;NA;1;0;0;NA;0;0;0;3;11;3;0;1;0;2;1;0;0;0;0;0;0;0;1;0,282758995;4;45;80;0;30;65;0,031979257;0,055315471;0,340535869;0,133102852;0,082108902;0,356957649
SI287;-74,18801;40,52068;65 Veith Pl;Wolfe's pond;South Middle;N;0;0;0;1;0;0;1;0;NA;1;0;0;NA;0;1;0;3;6;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0,06674053;2;10;0;15;0;0;0;0;0,022222222;0,044444444;0;0,933333333
SI4492;-74,121;40,61771;231 Rice Ave;Clove Lakes;North;N;0;0;0;0;0;0;0;0;NA;1;0;1;NA;1;1;0;2;10;3;3;0;0;0;0;0;0;0;0;0;0;0;NA;0,092487154;4;10;15;40;0;80;0,106666667;0,069333333;0,248;0;0,066666667;0,509333333
SI5310;-74,17846204;40,53584259;5041 Amboy Rd;Blue Heron;South Middle;N;0;0;0;1;0;0;0;0;NA;1;1;0;NA;0;1;0;3;8;2;0;0;0;0;0;0;0;0;0;0;0;0;NA;0,201389244;2;0;15;0;0;30;0,077017115;0,101466993;0,292176039;0,064792176;0;0,464547677
SI5318;-74,17609969;40,53812047;30 Summit Pl;Blue Heron;South Middle;N;0;0;0;1;0;0;1;0;NA;1;0;0;NA;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0,229411596;9;40;30;0;10;70;0,11827957;0,044086022;0,319354839;0;0;0,51827957
SI5532;-74,24787657;40,50114361;751 Clermont Ave;Conference house;South;N;0;0;0;1;0;1;0;0;NA;1;0;1;NA;0;1;0;2;11;2;0;0;0;1;0;0;0;0;0;0;0;0;NA;0,095875987;7;0;15;10;20;20;0;0;0,130769231;0;0;0,869230769
SI5556;-74,25366174;40,5070839;21 Tottenville Pl;Conference house;South;N;0;0;0;1;1;0;1;0;NA;1;0;1;NA;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0,228354627;8;30;10;5;30;95;0,069189189;0,068108108;0,52972973;0,144864865;0;0,188108108
SI5914;-74,18257685;40,53056015;14 Denise Ct;Blue Heron;South Middle;N;0;0;0;0;0;0;1;0;NA;1;0;0;NA;0;0;0;3;6;1;0;0;0;1;0;0;0;0;0;0;0;0;NA;0,14183456;2;10;10;0;10;10;0,087108014;0,053135889;0,293554007;0;0;0,566202091
SI7001;-74,12594604;40,63385773;368 Clove Rd. ;Clove Lakes;North;N;0;0;0;1;0;0;1;0;NA;1;0;0;NA;0;0;0;1;7;4;4;0;0;0;0;0;0;0;0;0;0;0;NA;0,13749798;6;25;0;10;10;20;0,183123878;0,02513465;0,172351885;0;0;0,619389587
SI7002;-74,09368134;40,59351349;73 Burgher ave ;Reed's basket willow;Middle;N;0;0;0;0;1;0;0;0;NA;1;0;1;NA;0;1;1;2;10;4;3;0;0;0;1;0;0;0;0;0;0;0;NA;0,092824714;2;10;0;30;0;40;0,008;0,008;0,405333333;0,133333333;0;0,445333333
SI7003;-74,12075043;40,62887573;268 Myrtle Ave. ;Clove Lakes;North;N;0;0;0;1;0;0;1;0;NA;1;0;1;NA;1;1;0;1;14;8;8;0;5;0;0;0;0;0;0;0;0;0;NA;0,089970459;5;40;0;30;0;80;0,164835165;0,082417582;0,203296703;0,096153846;0;0,453296703
SI7006;-74,15496063;40,61614227;513 W. Caswell Ave. ;Willowbrook;North;N;0;0;0;1;0;0;1;0;NA;1;0;0;NA;1;1;0;3;11;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0,07420634;6;40;5;0;10;50;0,133779264;0,130434783;0,177257525;0;0;0,558528428
SI7013;-74,1060213;40,591268;87 Romer rd. ;High Rock;Middle;N;0;0;0;1;1;0;1;0;NA;1;0;0;NA;0;1;0;2;21;8;1;0;1;4;4;0;0;0;0;0;0;0;NA;0,459791568;10;25;50;0;50;115;0,209763948;0,076716738;0,168454936;0,089592275;0,018776824;0,436695279
SI7016;-74,14207458;40,63745499;57 Riverside Ln;Clove Lakes;North;N;0;0;0;1;0;0;1;0;NA;1;0;0;NA;0;1;0;3;7;1;0;0;0;0;1;0;0;0;0;0;0;0;NA;0,184291045;3;30;0;0;0;85;0,250334672;0,009370817;0,060240964;0;0,207496653;0,472556894
SI7020;-74,10155487;40,5740509;526 Greeley ave;Latourette;Middle;N;0;0;0;1;0;0;1;0;NA;1;0;1;NA;0;1;0;3;11;1;0;0;0;0;1;0;0;0;0;0;0;0;NA;0,069804861;7;30;0;70;15;75;0,163120567;0,053191489;0,127659574;0;0;0,656028369
SI7027;-74,134552;40,61663818;274 Willard ave;Clove Lakes;North;N;0;0;0;1;0;0;1;1;NA;1;0;0;NA;0;1;1;3;3;2;2;0;0;0;0;0;0;0;0;0;0;0;NA;0,070297529;2;10;0;0;0;10;0;0;0,02739726;0;0;0,97260274
SI713;-74,25321;40,50781;7743 Amboy Rd;Conference house;South;Y;0;1;0;1;0;0;1;0;NA;1;0;0;NA;0;1;1;2;13;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0,162183413;5;20;0;45;20;55;0,073059361;0,01674277;0,238964992;0,057838661;0;0,613394216
SI730;-74,252449;40,5040729;141 Satterlee St;Conference house;South;N;0;0;0;0;0;0;0;0;NA;1;0;0;NA;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0,141644642;0;5;0;0;10;0;0;0;0,198606272;0,555749129;0,024390244;0,221254355
SI772;-74,14315;40,5737;453 St Andrews Rd;Latourette;Middle;N;0;0;0;1;0;0;1;0;NA;1;1;0;NA;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0,137647698;7;5;15;0;20;80;0,109123435;0,055456172;0,379248658;0;0;0,456171735
